"","mes_ano","pais","valor"
"2061",2004-03-01,"Hong Kong SAR",979338
"2062",2004-04-01,"Hong Kong SAR",908741
"2063",2004-05-01,"Hong Kong SAR",972837
"2064",2004-06-01,"Hong Kong SAR",867445
"2065",2004-07-01,"Hong Kong SAR",1160530
"2066",2004-08-01,"Hong Kong SAR",1238091
"2067",2004-09-01,"Hong Kong SAR",912723
"2068",2004-10-01,"Hong Kong SAR",1079392
"2069",2004-11-01,"Hong Kong SAR",1040982
"2070",2004-12-01,"Hong Kong SAR",1146013
"2071",2005-01-01,"Hong Kong SAR",1065487
"2072",2005-02-01,"Hong Kong SAR",1041061
"2073",2005-03-01,"Hong Kong SAR",932243
"2074",2005-04-01,"Hong Kong SAR",987091
"2075",2005-05-01,"Hong Kong SAR",972313
"2076",2005-06-01,"Hong Kong SAR",885596
"2077",2005-07-01,"Hong Kong SAR",1147076
"2078",2005-08-01,"Hong Kong SAR",1221159
"2079",2005-09-01,"Hong Kong SAR",925417
"2080",2005-10-01,"Hong Kong SAR",1115023
"2081",2005-11-01,"Hong Kong SAR",1070488
"2082",2005-12-01,"Hong Kong SAR",1178446
"2083",2006-01-01,"Hong Kong SAR",1324888
"2084",2006-02-01,"Hong Kong SAR",1141391
"2085",2006-03-01,"Hong Kong SAR",1125564
"2086",2006-04-01,"Hong Kong SAR",1109401
"2087",2006-05-01,"Hong Kong SAR",1045744
"2088",2006-06-01,"Hong Kong SAR",959404
"2089",2006-07-01,"Hong Kong SAR",1196987
"2090",2006-08-01,"Hong Kong SAR",1364825
"2091",2006-09-01,"Hong Kong SAR",930532
"2092",2006-10-01,"Hong Kong SAR",1083361
"2093",2006-11-01,"Hong Kong SAR",1043726
"2094",2006-12-01,"Hong Kong SAR",1265519
"2095",2007-01-01,"Hong Kong SAR",1210562
"2096",2007-02-01,"Hong Kong SAR",1481029
"2097",2007-03-01,"Hong Kong SAR",1086645
"2098",2007-04-01,"Hong Kong SAR",1089240
"2099",2007-05-01,"Hong Kong SAR",1212715
"2100",2007-06-01,"Hong Kong SAR",1019524
"2101",2007-07-01,"Hong Kong SAR",1390554
"2102",2007-08-01,"Hong Kong SAR",1685555
"2103",2007-09-01,"Hong Kong SAR",1136325
"2104",2007-10-01,"Hong Kong SAR",1359194
"2105",2007-11-01,"Hong Kong SAR",1291307
"2106",2007-12-01,"Hong Kong SAR",1523139
"2107",2008-01-01,"Hong Kong SAR",1441667
"2108",2008-02-01,"Hong Kong SAR",1442302
"2109",2008-03-01,"Hong Kong SAR",1269673
"2110",2008-04-01,"Hong Kong SAR",1305002
"2111",2008-05-01,"Hong Kong SAR",1290806
"2112",2008-06-01,"Hong Kong SAR",1145551
"2113",2008-07-01,"Hong Kong SAR",1660243
"2114",2008-08-01,"Hong Kong SAR",1699309
"2115",2008-09-01,"Hong Kong SAR",1249545
"2116",2008-10-01,"Hong Kong SAR",1373910
"2117",2008-11-01,"Hong Kong SAR",1363167
"2118",2008-12-01,"Hong Kong SAR",1620828
"2119",2009-01-01,"Hong Kong SAR",1892336
"2120",2009-02-01,"Hong Kong SAR",1345291
"2121",2009-03-01,"Hong Kong SAR",1438182
"2122",2009-04-01,"Hong Kong SAR",1406500
"2123",2009-05-01,"Hong Kong SAR",1167230
"2124",2009-06-01,"Hong Kong SAR",1012386
"2125",2009-07-01,"Hong Kong SAR",1432740
"2126",2009-08-01,"Hong Kong SAR",1855907
"2127",2009-09-01,"Hong Kong SAR",1326110
"2128",2009-10-01,"Hong Kong SAR",1686686
"2129",2009-11-01,"Hong Kong SAR",1544531
"2130",2009-12-01,"Hong Kong SAR",1848832
"2131",2010-01-01,"Hong Kong SAR",1907827
"2132",2010-02-01,"Hong Kong SAR",2009922
"2133",2010-03-01,"Hong Kong SAR",1631163
"2134",2010-04-01,"Hong Kong SAR",1660538
"2135",2010-05-01,"Hong Kong SAR",1713687
"2136",2010-06-01,"Hong Kong SAR",1564062
"2137",2010-07-01,"Hong Kong SAR",2011837
"2138",2010-08-01,"Hong Kong SAR",2369813
"2139",2010-09-01,"Hong Kong SAR",1626556
"2140",2010-10-01,"Hong Kong SAR",2035735
"2141",2010-11-01,"Hong Kong SAR",1878060
"2142",2010-12-01,"Hong Kong SAR",2275188
"2143",2011-01-01,"Hong Kong SAR",2503151
"2144",2011-02-01,"Hong Kong SAR",2008173
"2145",2011-03-01,"Hong Kong SAR",2009130
"2146",2011-04-01,"Hong Kong SAR",2136896
"2147",2011-05-01,"Hong Kong SAR",2115413
"2148",2011-06-01,"Hong Kong SAR",1924603
"2149",2011-07-01,"Hong Kong SAR",2677326
"2150",2011-08-01,"Hong Kong SAR",2914914
"2151",2011-09-01,"Hong Kong SAR",2094360
"2152",2011-10-01,"Hong Kong SAR",2542465
"2153",2011-11-01,"Hong Kong SAR",2343939
"2154",2011-12-01,"Hong Kong SAR",2829759
"2155",2012-01-01,"Hong Kong SAR",3101578
"2156",2012-02-01,"Hong Kong SAR",2296814
"2157",2012-03-01,"Hong Kong SAR",2497061
"2158",2012-04-01,"Hong Kong SAR",2647026
"2159",2012-05-01,"Hong Kong SAR",2525600
"2160",2012-06-01,"Hong Kong SAR",2514688
"2161",2012-07-01,"Hong Kong SAR",3264385
"2162",2012-08-01,"Hong Kong SAR",3727949
"2163",2012-09-01,"Hong Kong SAR",2751427
"2164",2012-10-01,"Hong Kong SAR",3064966
"2165",2012-11-01,"Hong Kong SAR",3040360
"2166",2012-12-01,"Hong Kong SAR",3479541
"2167",2013-01-01,"Hong Kong SAR",3526182
"2168",2013-02-01,"Hong Kong SAR",3132415
"2169",2013-03-01,"Hong Kong SAR",2842002
"2170",2013-04-01,"Hong Kong SAR",3110141
"2171",2013-05-01,"Hong Kong SAR",3053892
"2172",2013-06-01,"Hong Kong SAR",3150563
"2173",2013-07-01,"Hong Kong SAR",3777462
"2174",2013-08-01,"Hong Kong SAR",4224639
"2175",2013-09-01,"Hong Kong SAR",3283859
"2176",2013-10-01,"Hong Kong SAR",3406001
"2177",2013-11-01,"Hong Kong SAR",3348121
"2178",2013-12-01,"Hong Kong SAR",3890000
"2179",2014-01-01,"Hong Kong SAR",4347400
"2180",2014-02-01,"Hong Kong SAR",3458215
"2181",2014-03-01,"Hong Kong SAR",3601086
